,Province,Year,all_fish_catch,anchovy_catch,round_scad_catch,small_yellow_croaker_catch,largehead_hairtail_catch,chub_mackerel_catch,all_crustaceans_catch,cuttlefish_catch,all_shellfish_catch,all_other_catch,Kilowatts,all_fisheries_catch
40,Fujian Province,2013,1440628,80732,242405,9104,165420,120776,306204,33710,49649,16406,1841467,1814748
41,Shandong,2013,1613399,503682,NA,87306,82402,85480,264966,9785,177268,141832,1486382,2199262
42,Guangdong,2013,1112922,28641,114026,21976,133344,30175,217029,20285,61716,38472,1995769,1434924
43,Guangxi,2013,384233,NA,71170,NA,31424,13680,122737,16941,59896,51874,622097,618740
44,Hainan,2013,949501,13645,43477,16850,146172,10753,44011,13309,29005,1494,1154586,1037314
45,Tianjin,2012,10242,1199,NA,3477,16,2147,2218,NA,3066,10,47248,15536
46,Hebei,2012,132298,28840,NA,7697,5800,55,52339,1595,18486,38350,302116,241473
47,Liaoning Province,2012,644896,94642,NA,111771,19334,44980,202395,4997,10392,48645,1181569,907340
48,Shanghai,2012,11190,NA,NA,158,453,39,9967,22,NA,178,142518,21335
49,Jiangsu Province,2012,341695,2340,NA,33782,62537,18659,123304,2353,53143,28957,611084,548630
50,Zhejiang,2012,2105090,51275,118503,107159,469439,231373,733465,26183,16596,25589,3515828,2883281
51,Fujian Province,2012,1449570,77902,218922,12574,167192,127422,295489,30630,49538,16704,1832147,1813066
52,Shandong,2012,1621157,468605,NA,85476,84263,82983,284270,9341,187485,131295,1547184,2226345
53,Guangdong,2012,1036811,28763,111314,20798,133598,31524,227792,21345,63999,38923,1998291,1373124
54,Guangxi,2012,388278,NA,70580,NA,30933,13711,118088,16843,60391,51364,685954,618121
55,Hainan,2012,898720,13073,42368,16570,144656,10286,41955,13257,27452,1451,1146614,982354
56,Tianjin,2011,8349,443,NA,3077,17,1313,2780,NA,2624,70,47215,13823
57,Hebei,2011,139275,38760,NA,7759,6236,461,58281,3394,16893,26762,309085,241211
58,Liaoning Province,2011,551103,102157,NA,149246,41529,34747,196532,1810,120126,87368,1179879,955275
59,Shanghai,2011,12202,NA,NA,193,475,40,9031,38,NA,178,140576,21411
60,Jiangsu Province,2011,341754,1408,NA,30853,62229,21780,120508,2339,56365,32697,543626,552943
61,Zhejiang,2011,1952559,54284,106660,97252,529633,175671,695187,25172,14763,21589,3466340,2686208
62,Fujian Province,2011,1448938,66008,228438,8233,164638,128056,289443,26223,49885,19818,1797417,1809216
63,Shandong,2011,1544599,292934,NA,76119,79619,77835,299573,8518,209677,140248,1495736,2196459
64,Guangdong,2011,1017061,29565,119149,18139,132140,28619,221478,19447,65946,42906,1988518,1352277
65,Guangxi,2011,389776,NA,68243,NA,31279,13630,110179,16271,59373,59486,724732,618814
66,Hainan,2011,849435,12551,40492,15997,139046,9853,40322,12614,26452,1410,1107086,930000
67,Tianjin,2010,8572,891,NA,1556,24,1594,2766,NA,3892,NA,47125,42828
68,Hebei,2010,136802,31860,NA,7637,5735,NA,54908,3408,18866,29936,311723,240512
69,Liaoning Province,2010,554477,71827,NA,105753,23262,40998,194008,2074,119881,76820,1178513,945334
70,Shanghai,2010,11547,NA,NA,209,395,37,9908,56,NA,163,137883,21618
71,Jiangsu Province,2010,347348,1713,NA,31552,73643,25851,114120,2678,43750,36465,554944,542537
72,Zhejiang,2010,1843858,5604,100097,89623,495985,160212,672831,22413,13254,20159,3595659,2551998
73,Fujian Province,2010,1412312,63820,220778,8069,168188,72237,276208,28460,50927,21120,1834141,1761689
74,Shandong,2010,1514489,299031,NA,87802,103694,44761,315117,8474,260478,121770,1396161,2213631
75,Guangdong,2010,987209,35059,110711,25174,133100,28262,227206,20378,70222,44378,2013815,1339237
76,Guangxi,2010,399580,NA,69025,NA,34172,13620,113549,19787,63451,34103,698608,610683
77,Hainan,2010,824092,12092,39332,15520,134332,9438,38303,11953,25021,1390,1063407,900385
78,Tianjin,2008,9186,1622,NA,2987,25,156,2603,NA,4522,76,42411,16387
79,Hebei,2008,148993,36210,NA,8317,5355,379,63471,3546,19117,9035,310741,240616
80,Liaoning Province,2008,544709,61754,22,99524,12807,75426,206686,5186,123619,88213,1141032,963381
81,Shanghai,2008,8706,NA,NA,164,432,23,10476,25,NA,631,131592,19813
82,Jiangsu Province,2008,358381,2080,1312,32254,79423,35649,110598,1493,40070,36415,566425,546498
83,Zhejiang,2008,1635018,75653,106790,87551,504422,187881,578051,23191,10073,13982,3591151,2239104
84,Fujian Province,2008,1397924,74811,255298,6217,154211,68722,266787,25815,50275,21329,1836887,1739049
85,Shandong,2008,1520119,350583,NA,84125,121514,176055,357540,6681,254093,94445,1348684,2234312
86,Guangdong,2008,1060584,43728,321,18661,144725,24871,200952,21443,58790,39016,1969093,1369071
87,Guangxi,2008,404304,NA,69909,NA,31617,13620,112188,17629,62858,31885,768752,611235
88,Hainan,2008,808002,12280,36162,14865,138190,9855,36420,11578,20342,1283,1034671,878894
89,Beijing,2007,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,2977,590
90,Tianjin,2007,14718,1168,NA,2697,1927,54,2759,865,5959,724,42981,24160
91,Hebei,2007,148993,34914,NA,6923,8249,377,63366,3399,19117,9035,278095,240511
92,Liaoning Province,2007,672716,69925,NA,86360,25349,48082,239212,5959,129252,54291,1075799,1095627
93,Shanghai,2007,116712,NA,NA,137,529,98,12223,1737,NA,4329,140423,133264
94,Jiangsu Province,2007,345599,2136,1564,38903,96347,21202,114998,1756,50224,43742,581860,555808
95,Zhejiang,2007,1610701,59136,68060,78481,361357,110871,603181,28183,11633,16191,3649913,2243219
96,Fujian Province,2007,1486798,77458,232025,7523,178787,62863,256690,27168,56476,25211,1775082,1827708
97,Shandong,2007,1447224,507503,NA,77799,131713,49001,370191,6776,303822,103677,1343997,2234629
98,Guangdong,2007,1114837,38316,167435,17095,160633,27217,222071,24374,63940,9858,2080117,1416439
99,Guangxi,2007,389566,NA,68952,NA,31845,17859,124009,19445,75615,33824,694034,623095
100,Hainan,2007,739973,15972,32680,22925,116375,6197,58884,15560,27579,15788,728946,854095
101,Zhongnong Development Group,2007,135804,NA,NA,NA,38890,NA,2818,17532,NA,NA,NA,138622
102,Tianjin,2006,17470,NA,NA,1883,1725,NA,3680,753,4572,1210,45256,26932
103,Hebei,2006,181682,35909,NA,7762,8992,480,76243,4968,22988,15260,299394,296173
104,Liaoning Province,2006,831683,78450,329,94272,58289,78851,315858,15822,164448,78430,987187,1390419
105,Shanghai,2006,154663,NA,NA,282,2451,3735,14867,1595,NA,893,151572,170423
106,Jiangsu Province,2006,340905,1953,1577,42764,104195,21097,131003,1815,49217,44021,582574,565667
107,Zhejiang,2006,2031496,75559,86492,72911,510532,162123,805693,33781,14020,20602,3476959,2873651
108,Fujian Province,2006,1667567,76553,229347,10986,214550,72894,278543,34432,69372,42052,1827253,2060731
109,Shandong,2006,1550955,646758,NA,75986,155726,68246,413510,25615,367035,83964,1354004,2421906
110,Guangdong,2006,1261173,39774,178085,19071,171894,28398,215785,28381,68890,50620,2077200,1602768
111,Guangxi,2006,512278,NA,87418,NA,42279,22673,141374,21202,96252,37942,693166,787948
112,Hainan,2006,973864,19614,44248,21970,110019,17111,71071,12556,47038,13306,723945,1118699
113,Zhongnong Development Group,2006,134708,NA,NA,NA,39485,NA,3330,13012,NA,5345,NA,143383
114,Tianjin,2005,16860,NA,NA,1578,2021,NA,4593,834,8249,1678,45256,31380
115,Hebei,2005,174533,33289,NA,6401,8163,460,77114,5329,24564,17249,291745,293460
116,Liaoning Province,2005,866018,59650,345,77001,75208,55638,328975,13358,132903,111453,987187,1439349
117,Shanghai,2005,101093,NA,NA,421,7498,6000,15885,3926,NA,7064,119184,124042
118,Jiangsu Province,2005,362355,30400,375,42906,99877,22753,105223,1399,47519,53804,582574,569382
119,Zhejiang,2005,2045379,76332,76443,67167,465858,150975,779685,34210,12677,18216,3476959,2856407
120,Fujian Province,2005,1719925,78702,217801,11281,220882,64349,283221,30396,69937,45662,1705257,2121839
121,Shandong,2005,1614323,708719,NA,90150,125544,55906,399799,16886,368292,87872,1418006,2471399
122,Guangdong,2005,1293172,39798,196653,17227,176767,28762,211905,25930,77330,55961,2088074,1644846
123,Guangxi,2005,523246,NA,86397,NA,44106,22869,136150,19354,100806,35184,693758,795488
124,Hainan,2005,890604,12990,47823,13388,37007,84426,68024,9944,42932,12099,699267,1032410
125,Zhongnong Development Group,2005,121773,NA,NA,NA,21638,1175,1566,4740,NA,23,NA,123362
126,Tianjin,2004,17031,NA,NA,1505,2675,70,5760,833,3868,943,55594,27602
127,Hebei,2004,171189,40577,NA,5375,8805,70,78521,4824,23880,16778,311679,290368
128,Liaoning Province,2004,869992,61063,1418,82919,60700,65377,338157,8798,145120,66118,946418,1419387
129,Shanghai,2004,102453,NA,NA,460,5564,7396,13343,3450,NA,5598,119815,121394
130,Jiangsu Province,2004,364322,5002,2,41317,109460,18470,117727,1611,42076,44289,579110,573131
131,Zhejiang,2004,1976789,97470,71461,75737,552932,179806,760174,50641,12562,119159,3538444,2869134
132,Fujian Province,2004,1705489,77687,208749,9250,220490,54428,284353,36466,82067,50214,1694402,2125580
133,Shandong,2004,1670893,771870,NA,70812,121681,52172,408424,13916,316727,82148,1340346,2480928
134,Guangdong,2004,1285430,34349,200732,15412,185330,30171,212983,20456,81811,49200,2147133,1634531
135,Guangxi,2004,488196,NA,89503,3784,41280,22817,126712,19912,104398,33908,694144,753425
136,Hainan,2004,821698,13698,45839,7895,89991,18014,53968,9028,34359,24180,653557,955198
137,Tianjin,2003,17174,NA,NA,742,1885,NA,6124,359,6555,397,57975,30250
138,Hebei,2003,166949,27951,NA,1173,370,7744,75533,5547,29018,18848,333335,290348
139,Liaoning Province,2003,812333,60475,2625,66819,53343,77752,299086,6812,163880,142495,962999,1417794
140,Shanghai,2003,97824,NA,NA,190,1642,8272,14446,3141,NA,4133,124461,116403
141,Jiangsu Province,2003,354634,3648,527,38406,83110,18989,99318,1025,50220,48158,576767,554164
142,Zhejiang,2003,2041436,101822,91794,71906,531009,135120,732726,41857,18533,52152,3646854,2845455
143,Fujian Province,2003,1670895,85132,213494,6129,202995,66393,310287,27583,76024,57667,1497288,2118008
144,Shandong,2003,1786175,968613,NA,73183,99252,52359,419754,13231,235333,100440,1475640,2544330
145,Guangdong,2003,1391858,40475,236221,13117,184700,30551,202804,21119,82596,54897,2187373,1738355
146,Guangxi,2003,549316,NA,90454,1779,36651,25098,111460,23746,105719,40046,682132,806565
147,Hainan,2003,757138,14272,36999,6365,69900,14104,47080,6774,38285,15431,591899,872843
148,Tianjin,2002,16333,810,NA,1840,NA,NA,6780,NA,NA,2,65372,23115
149,Hebei,2002,170554,24208,NA,7465,9741,156,77052,10127,NA,22874,356623,270480
150,Liaoning Province,2002,821914,74634,NA,50682,28271,82563,332098,14407,NA,136775,1042693,1290787
151,Shanghai,2002,32621,NA,NA,308,1220,5640,16611,2375,NA,323,191284,49555
152,Jiangsu Province,2002,379723,5069,1785,38927,73887,7898,113801,4235,NA,47343,662377,542081
153,Zhejiang,2002,2148827,54091,41370,82836,550098,102553,806406,50109,NA,3651,4154461,2960934
154,Fujian Province,2002,1636724,67150,195001,7012,182418,77885,300737,37724,NA,41975,1790252,1980834
155,Shandong,2002,1738959,917467,NA,68566,133417,67391,504391,14910,NA,87940,1577156,2332053
156,Guangdong,2002,1400779,28619,260649,NA,169193,321,218125,36865,NA,59970,2370675,1684869
157,Guangxi,2002,554049,40,71933,NA,45502,23121,114627,33482,NA,33979,592595,702665
158,Hainan,2002,648239,1108,32277,2821,69984,11457,43607,7998,NA,17238,598041,727370
159,Tianjin,2001,14377,NA,NA,398,70,33,6915,32,NA,177,69515,21469
160,Hebei,2001,174741,23030,NA,8109,13417,1657,78262,7606,NA,27013,374624,280016
161,Liaoning Province,2001,773536,79676,NA,45599,20997,69933,342965,17629,NA,164045,1002378,1280546
162,Shanghai,2001,50996,NA,NA,200,1219,9288,22193,38,NA,736,174816,73925
163,Jiangsu Province,2001,402978,74216,234,42202,84836,8041,113008,2830,NA,40847,644516,559753
164,Zhejiang,2001,2197821,77359,26853,77085,594804,98526,822493,54487,NA,10379,4119418,3032236
165,Fujian Province,2001,1595493,84652,192321,5520,186527,56850,309033,46378,NA,40098,1727404,1945938
166,Shandong,2001,1767976,873256,NA,63243,90017,53679,501450,12226,NA,79971,1527313,2350230
167,Guangdong,2001,1430772,47371,193494,NA,156543,321,218057,34227,NA,54744,2280576,1708772
168,Guangxi,2001,549544,NA,103516,NA,39545,27107,116279,38991,NA,40524,533599,706347
169,Hainan,2001,584583,1152,28310,2969,61675,10497,32039,4497,NA,13684,549349,645184
170,Tianjin,2000,10346,NA,NA,799,NA,NA,8430,NA,NA,230,66441,19006
171,Hebei,2000,177272,33945,NA,7956,13534,6343,67125,6379,NA,28299,330694,272696
172,Liaoning Province,2000,747392,103599,NA,43144,24414,46189,364289,49081,NA,140185,967303,1251867
173,Shanghai,2000,NA,NA,NA,NA,NA,NA,20.224,42,NA,1227,175587,1247.224
174,Jiangsu Province,2000,425922,6256,114,43485,85056,19362,116339,2048,NA,35756,750472,578644
175,Zhejiang,2000,2224461,59121,14867,106936,649108,63274,867855,53219,NA,6634,4020998,3100465
176,Fujian Province,2000,1566776,98436,159813,8733,173578,52789,314919,57263,NA,38527,1734042,1920946
177,Shandong,2000,2050176,789434,164,68457,93446,69042,498805,15249,NA,88849,1416817,2638771
178,Guangdong,2000,1482532,47494,212309,NA,147095,321,209215,29490,NA,49404,2258358,1746200
179,Guangxi,2000,564671,2896,94880,NA,43367,27027,126506,39756,NA,45112,509611,736304
180,Hainan,2000,NA,1703,20142,NA,NA,NA,30998,3431,NA,10353,496760,52908
181,Tianjin,1999,9311,81,NA,115,800,NA,10729,NA,NA,411,57274,20451
182,Hebei,1999,171140,20602,NA,3640,10542,8,71514,7934,NA,30341,338483,272995
183,Liaoning Province,1999,833872,85198,NA,37815,30223,52499,310010,2925,NA,200407,891422,1344289
184,Shanghai,1999,NA,NA,NA,NA,NA,NA,20657,51,NA,1362,173271,22019
185,Jiangsu Province,1999,460844,4392,56,41525,83777,37842,111455,9298,NA,53782,743745,628332
186,Zhejiang,1999,2210503,84313,15027,85864,586125,70466,855528,63213,NA,9267,3684936,3076658
187,Fujian Province,1999,1591686,86124,214341,10151,173227,59691,274403,48651,NA,43432,1724995,1910009
188,Shandong,1999,2286573,783220,NA,58434,94275,68193,503607,13181,NA,106164,1356990,2896803
189,Guangdong,1999,1491008,21676,186980,NA,127060,321,205850,32630,NA,59250,2241062,1761707
190,Guangxi,1999,581234,1966,73742,NA,60085,27217,116028,30148,NA,39828,493090,737090
191,Hainan,1999,444642,9344,12444,2520,40057,11017,21456,2744,NA,7615,475441,485111
192,Tianjin,1998,9943,NA,NA,NA,500,412,8868,NA,NA,380,52760,19191
193,Hebei,1998,145691,24925,NA,3165,130,43,72171,NA,NA,24516,299614,242378
194,Liaoning Province,1998,842748,108463,NA,22885,15508,67301,299557,NA,NA,243812,749541,1386117
195,Shanghai,1998,68326,NA,NA,333,1744,17088,22156,NA,NA,3125,176059,93607
196,Jiangsu Province,1998,454244,5453,334,37638,86017,34437,115016,NA,NA,27450,718641,596770
197,Zhejiang,1998,2258447,219606,1244,70142,570516,59772,795159,NA,NA,6708,3548041,3061674
198,Fujian Province,1998,1564336,96095,220181,7604,146719,58988,254009,NA,NA,72686,1684193,1893566
199,Shandong,1998,2241277,870128,NA,45376,94027,43323,462592,NA,NA,134092,1365159,2838749
200,Guangdong,1998,1474234,34501,222903,NA,145999,321,208349,NA,NA,56593,2270689,1745130
201,Guangxi,1998,556081,1693,80631,NA,28094,28998,113851,NA,NA,24829,477754,694761
202,Hainan,1998,386553,12464,7693,4708,34106,8012,17916,NA,NA,8792,459041,419616
203,Beijing,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
204,Tianjin,1997,13702,25,NA,NA,1000,NA,7139,4235,NA,64,45213,20905
205,Hebei,1997,110549,20955,135,NA,197,93,58714,10573,NA,36427,298542,205690
206,Liaoning Province,1997,717279,133541,NA,13430,9587,67759,270138,3066,NA,110048,714977,1098712
207,Shanghai,1997,112308,NA,NA,381,2706,25521,22160,13,NA,1421,173522,135889
208,Jiangsu Province,1997,393495,12299,5,32121,76733,13830,92361,8820,NA,109368,753474,595224
209,Zhejiang,1997,1943192,37473,18868,49670,528764,101548,746330,46550,NA,12411,3237769,2703263
210,Fujian Province,1997,1480206,96923,155933,4936,140115,50538,253661,61801,NA,83106,1624008,1819990
211,Shandong,1997,2104533,870862,5,36769,51156,321,323246,12440,NA,145710,1248374,2574035
212,Guangdong,1997,1407671,18433,251149,NA,112542,74405,181511,26188,NA,72103,2194027,1667649
213,Guangxi,1997,514845,1758,71873,NA,43962,18611,120516,23536,NA,36271,489830,671632
214,Hainan,1997,345664,9695,8023,5374,32836,6339,15363,6575,NA,10573,439033,377523
215,Tianjin,1996,14234,1743,NA,NA,2300,15,7965,2270,NA,222,51424,22421
216,Hebei,1996,76783,1234,NA,25,30,460,60706,7230,NA,17924,260512,155413
217,Liaoning Province,1996,666719,84554,NA,9263,6535,53066,207649,11116,NA,33532,658302,911718
218,Shanghai,1996,106160,NA,73,399,2282,23355,20373,31,NA,2233,171021,128766
219,Jiangsu Province,1996,363263,4446,102,45989,113105,6527,99242,4716,NA,82083,662053,544647
220,Zhejiang,1996,1722778,1553,19778,48589,495265,83712,702328,32593,NA,10509,3208747,2436782
221,Fujian Province,1996,1435182,11199,233332,NA,116554,60548,198396,46110,NA,14942,1559976,1649612
222,Shandong,1996,1218473,537437,38556,43851,50457,67089,350915,10921,NA,120301,1185967,1689980
223,Guangdong,1996,1421242,17767,244698,NA,88968,321,174809,24219,NA,46609,2152087,1646626
224,Guangxi,1996,434234,2489,63151,NA,14414,17390,79597,20038,NA,39456,442490,553303
225,Hainan,1996,318314,8954,7996,5366,32004,6815,14951,7075,NA,11001,402484,349020
226,Tianjin,1995,13155,NA,NA,6,2994,NA,6642,1300,4168,102,46439,24067
227,Hebei,1995,73040,278,134,922,79,395,NA,933,23916,9239,238912,106195
228,Liaoning Province,1995,477704,66395,NA,6309,6939,47966,NA,14773,161533,56813,633231,697126
229,Shanghai,1995,133640,NA,198,1727,4462,321,18182,137,6923,3045,150228,161790
230,Jiangsu Province,1995,332633,4192,NA,40575,142971,38740,102824,3188,89162,42459,582889,567078
231,Zhejiang,1995,1651579,9367,9459,33608,579850,80298,656011,80874,154285,7175,2959239,2470182
232,Fujian Province,1995,1323546,18298,211416,NA,121901,38934,174976,57371,102419,18673,1499981,1619996
233,Shandong,1995,1111641,354741,NA,66400,50135,77497,284464,11791,153425,68239,1061762,1618119
234,Guangdong,1995,1363357,26817,217994,NA,90723,42582,147269,23323,66546,33405,1868861,1614186
235,Guangxi,1995,388003,3232,69033,NA,8905,14015,59505,14616,44779,5870,377828,498192
236,Hainan,1995,295737,5026,7064,3501,30725,6736,12480,5536,19573,8737,381369,340580
237,Beijing,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
238,Tianjin,1994,10115,NA,NA,78,800,15,6465,480,2942,21,52011,19543
239,Hebei,1994,58824,17,207,NA,52,585,50924,62,15110,12525,239332,137383
240,Shanxi,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
241,Shanxi,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
242,Inner Mongolia,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
243,Liaoning Province,1994,403376,62849,NA,4265,5438,46041,163258,3844,152530,25107,585483,747749
244,Jilin,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
245,Heilongjiang,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
246,Shanghai,1994,119647,NA,770,2343,8240,321,23680,3155,3155,756,162576,147238
247,Jiangsu Province,1994,315309,7218,NA,25640,117079,16589,94565,2636,45620,9402,495919,465000
248,Zhejiang,1994,1219735,2878,6846,22502,435650,56436,598395,65941,92735,64189,2286647,1976035
249,Anhui,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
250,Fujian Province,1994,1165344,49290,164165,NA,93248,90428,167522,48882,83448,25592,1275574,1443566
251,Jiangxi Province,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
252,Shandong,1994,1095891,266800,NA,44779,40878,34832,281593,10528,168264,62045,911975,1608172
253,Henan,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
254,Hubei,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
255,Hunan,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
256,Guangdong,1994,1262562,43437,183748,NA,74047,58931,151929,22496,67728,21392,1688464,1505822
257,Guangxi,1994,295235,1870,68933,NA,6572,6190,45309,10877,44661,11221,328262,396513
258,Hainan,1994,268943,4596,6191,3369,26140,6190,13533,4150,17123,8090,367864,313896
259,Sichuan Province,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
260,Guizhou,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
261,Yunnan,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
262,Tibet,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
263,Shanxi Province,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
264,Gansu Province,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
265,Qinghai,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
266,Ningxia,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
267,Xinjiang,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
268,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
269,Tianjin,1993,9955,NA,NA,165,1864,59,5546,2,2113,28,57581,17642
270,Hebei,1993,46215,23,NA,550,182,214,46923,1000,15848,19763,230983,128749
271,Liaoning Province,1993,347594,55702,NA,4383,3012,30226,140261,5174,145143,25246,574038,659351
272,Shanghai,1993,106583,NA,333,1499,12407,25599,13596,2542,2542,1025,175339,123746
273,Jiangsu Province,1993,263171,24980,NA,11747,76400,17110,68332,2883,62802,23383,486558,417893
274,Zhejiang,1993,890247,6945,9053,12731,330614,74305,407602,38358,44569,26879,2145386,1370153
275,Fujian Province,1993,1032955,230104,NA,NA,80278,34339,133285,19984,46694,7917,1188882,1222372
276,Shandong,1993,962193,192218,NA,44724,29575,28276,280781,6681,239439,73154,945581,1555657
277,Guangdong,1993,1159580,41355,198757,NA,72510,321,139618,29068,71207,20474,1648661,1392885
278,Guangxi,1993,241179,1202,45038,NA,3035,2994,35409,9816,20711,5635,297607,303006
279,Hainan,1993,237537,4708,7511,2512,21438,6072,10813,3028,13335,8662,355977,276915
280,Beijing,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
281,Tianjin,1992,10601,NA,NA,17,485,1421,4420,2,1436,5791,52481,22248
282,Hebei,1992,46121,2500,NA,15,593,52,35584,72,9904,89511,228361,181120
283,Shanxi,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
284,Shanxi,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
285,Inner Mongolia,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
286,Liaoning Province,1992,319665,40436,NA,3132,11301,29095,122156,1203,91317,35051,570569,571143
287,Jilin,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
288,Heilongjiang,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
