,Province,Year,all_fish_catch,anchovy_catch,round_scad_catch,small_yellow_croaker_catch,largehead_hairtail_catch,chub_mackerel_catch,all_crustaceans_catch,cuttlefish_catch,all_shellfish_catch,all_other_catch,Kilowatts,all_fisheries_catch
1,Tianjin,2016,42718,33848,NA,4433,391,709,1286,30,2500,30,56098,46534
2,Hebei,2016,145161,56752,NA,10750,5722,6177,51892,1391,22168,19804,339033,239025
3,Liaoning Province,2016,666228,97102,NA,123101,14432,37217,213112,13246,85788,82283,1309116,1047617
4,Shanghai,2016,8269,NA,NA,259,304,5,8459,20,5,149,142456,16882
5,Jiangsu Province,2016,303969,2764,23,29557,55341,5926,158727,2231,48233,26564,626371,538760
6,Zhejiang,2016,2223070,73001,77552,104013,438756,175283,947699,28676,16961,29180,3666831,3219531
7,Fujian Province,2016,1464260,78807,268480,9751,173071,126155,349330,34636,50511,15763,2235036,1882572
8,Shandong,2016,1607264,564678,NA,56449,62458,58064,259246,10584,166688,123157,1824157,2158065
9,Guangdong,2016,1085963,NA,104544,25662,157920,32963,236173,19125,58938,37648,1995393,1426529
10,Guangxi,2016,363182,31016,72712,NA,31174,13529,130871,18230,58308,48147,607908,600508
11,Hainan,2016,1143908,17782,63869,14360,166144,15183,71123,19478,45870,1823,1350242,1272216
12,Tianjin,2015,40797,26065,NA,3460,572,6031,1186,26,1797,22,51702,43802
13,Hebei,2015,135551,52576,NA,10691,6240,1644,52126,1396,20530,20237,329134,228444
14,Liaoning Province,2015,65389,85937,NA,97835,13275,34194,220601,5101,82927,70157,1186799,439139
15,Shanghai,2015,6939,NA,NA,235,379,5,12871,19,10,7,143339,19827
16,Jiangsu Province,2015,296348,2184,51,29470,54176,5900,158116,2200,49683,27423,587467,532844
17,Zhejiang,2015,2111192,65197,93013,94718,414978,176293,937862,26468,18012,28542,3683444,3098323
18,Fujian Province,2015,1458245,7794,264322,9530,180086,126798,332118,35098,48789,15771,2094495,1856945
19,Shandong,2015,1630501,566241,NA,59749,69506,69555,262450,9939,175522,100899,1768314,2170856
20,Guangdong,2015,1081692,32892,106781,2342,152279,31603,228515,20218,56459,39599,2026185,1413588
21,Guangxi,2015,368131,NA,72948,NA,31318,13633,126522,17863,57357,47857,621727,599867
22,Hainan,2015,1024616,17476,65144,13614,161375,14769,63332,18883,40521,1636,1326688,1139520
23,Tianjin,2014,49000,NA,NA,2964,203,3970,1756,46,2090,61,54201,52907
24,Hebei,2014,123554,NA,NA,11151,5745,72,56292,1608,20391,20757,316550,220994
25,Liaoning Province,2014,658599,87599,NA,104443,17113,54403,203563,4485,90578,63499,1171545,1016254
26,Shanghai,2014,7809,NA,NA,NA,330,2,11642,19,17,49,137671,19517
27,Jiangsu Province,2014,305606,2279,50,30709,56673,8835,150729,2283,52493,28475,591699,538580
28,Zhejiang,2014,2108083,60866,100862,88248,440483,183371,884279,24225,18403,31234,3629599,3044793
29,Fujian Province,2014,1440663,79652,241235,9607,166897,123429,315004,34427,48961,16261,2011043,1822701
30,Shandong,2014,1597662,515732,NA,76400,90415,82960,266684,10307,176192,155129,1619658,2197348
31,Guangdong,2014,1096882,30501,111542,23434,141228,29980,225474,20124,53197,33792,2017639,1416239
32,Guangxi,2014,370419,NA,73056,NA,30971,13621,125549,16977,55921,50072,627925,601961
33,Hainan,2014,959361,13784,43857,17008,146754,10857,44504,13545,29313,1502,1177142,1048243
34,Tianjin,2013,10312,1115,NA,4243,9,1440,2645,NA,2415,133,58231,15505
35,Hebei,2013,129709,36421,NA,6107,5740,58,62465,1595,19167,30669,289592,242010
36,Liaoning Province,2013,657146,95358,NA,116091,21846,37982,204068,5933,91816,74411,1187063,1027451
37,Shanghai,2013,10672,NA,NA,155,517,2,9474,20,NA,153,139109,20299
38,Jiangsu Province,2013,335060,2685,50,35413,57322,18819,127183,2269,54868,28664,606986,547055
39,Zhejiang,2013,2114884,61874,109854,103370,452498,190381,846609,23279,17622,33807,3641751,3015614
